id,u,v
0,4036,1238
1,479,1402
2,362,1214
3,1617,1437
4,2022,1215
5,347,1368
6,590,1402
7,443,1388
8,4132,1287
9,2099,1367
10,4068,1254
11,3096,738
12,270,1217
13,4122,1254
14,2359,1341
15,448,1409
16,4382,936
17,446,1409
18,2044,1341
19,2141,1187
20,1512,944
21,2114,1187
22,2333,1307
23,2772,945
24,1735,2209
25,3770,621
26,474,1367
27,3906,1749
28,2014,1347
29,3096,731
30,4083,1774
31,308,1341
32,3349,1166
33,4146,1288
34,553,1436
35,303,1218
36,2816,1123
37,317,1333
38,414,1367
39,3332,1123
40,394,1367
41,3337,1123
42,4361,1273
43,225,1333
44,511,1436
45,1517,1186
46,2221,1445
47,2254,1469
48,312,1326
49,2073,1336
50,2366,1470
51,4453,933
52,3351,1169
53,4088,1266
54,1966,664
55,375,1298
56,1077,1426
57,4567,888
58,269,1298
59,2042,1343
60,2038,833
61,294,1321
62,1408,1047
63,1504,1167
64,4472,933
65,3794,945
66,1311,2014
67,304,1347
68,3968,2510
69,508,1368
70,3796,945
71,1481,1137
72,304,1306
73,4142,1282
74,1462,1113
75,2338,1289
76,265,1306
77,3934,1744
78,4271,986
79,3971,1145
80,368,1369
81,3915,1737
82,2360,1289
83,4489,931
84,1814,2237
85,521,1435
86,464,1396
87,1359,1002
88,982,1434
89,412,1395
90,4112,1268
91,2641,1365
92,519,1434
93,1370,1010
94,1543,1222
95,1357,1000
96,382,1382
97,2094,1528
98,291,1322
99,429,1382
100,287,1309
101,4087,1258
102,449,1382
103,622,1793
104,3355,1146
105,1082,1631
106,2375,1305
107,248,1346
108,2354,1305
109,3414,1667
110,1112,1415
111,3953,1086
112,4175,2118
113,3352,1154
114,3979,1792
115,4397,943
116,324,1320
117,565,1305
118,1464,1115
119,4468,937
120,4030,1231
121,580,1365
122,1698,1396
123,1372,1013
124,1677,1382
125,285,1327
126,1264,1563
127,414,1390
128,4369,985
129,2763,1304
130,1406,1045
131,3972,1062
132,2761,1304
133,4198,1231
134,4092,1259
135,1854,957
136,261,1310
137,469,1304
138,336,1383
139,331,1260
140,3959,2508
141,768,1383
142,321,1310
143,3738,1792
144,705,1415
145,4216,997
146,2070,1371
147,1552,1235
148,4026,1235
149,527,1290
150,2187,1319
151,3872,1745
152,3864,1699
153,2338,1345
154,652,1413
155,343,1332
156,4179,1879
157,1816,2239
158,2128,1363
159,3880,1703
160,376,1363
161,1017,1446
162,1204,1547
163,307,1332
164,405,1372
165,4290,995
166,307,1293
167,3741,1791
168,4031,1237
169,2432,1303
170,2338,1339
171,2114,1372
172,329,1319
173,347,1330
174,1511,1178
175,4337,1240
176,4447,925
177,282,1241
178,221,1332
179,417,1397
180,428,1373
181,4022,1241
182,2131,1327
183,3796,943
184,4090,1261
185,1888,1553
186,3907,1760
187,430,1374
188,3325,1134
189,439,1397
190,406,1387
191,3874,1711
192,340,1344
193,2073,1374
194,486,1397
195,554,1431
196,4032,1245
197,514,1431
198,2371,1302
199,424,1391
200,4110,1018
201,4120,1275
202,656,1339
203,403,1391
204,4042,1245
205,264,1263
206,4304,993
207,4173,1872
208,237,1312
209,549,1447
210,4409,925
211,1473,1127
212,1770,2239
213,318,1312
214,462,1400
215,412,1389
216,1318,1020
217,416,1247
218,4052,1247
219,228,1248
220,486,1421
221,4129,1275
222,4067,1176
223,2044,1343
224,595,1421
225,3318,1119
226,2347,1249
227,3697,876
228,2350,1301
229,241,1295
230,343,1339
231,4406,925
232,377,1376
233,281,1318
234,436,1376
235,383,1250
236,500,1403
237,665,1376
238,2261,1447
239,4476,917
240,2387,1294
241,428,1410
242,302,1339
243,3856,941
244,2298,1294
245,459,1410
246,4019,1816
247,2102,1331
248,285,1313
249,1436,1080
250,450,1405
251,3247,1646
252,4385,865
253,2351,1252
254,2246,1294
255,266,1253
256,4390,991
257,338,1313
258,1454,1102
259,1132,1727
