id_i,u_i,v_i,id_j,u_j,v_j,distance
2,2427,1701,2804,1066,1528.82,43
46,3719,1485,2302,2971.47,1663.03,44
59,888,916,1629,1114.56,758.88,55
240,768,753,1526,915.84,554.4,31
288,735,756,1568,864,560.16,56
421,3662,1519,860,2713.2,1482,45
582,1372,607,1582,1915.2,299.52,38
625,4480,574,580,3905,1440,46
686,3783.6,680.4,376,2198,2327,43
728,3084,1798.8,1527,2005.92,2423.52,50
748,886.8,916.8,1629,1114.56,758.88,51
807,1742.4,474,222,2019,2192,34
880,3704.4,1474.8,739,3924,1436.4,48
922,4028.4,606,1947,3905.28,1439.42,49
932,1449.6,1248,938,3086.4,2168.4,38
967,771.6,775.2,1953,921.024,582.336,30
1001,768,753.6,1526,915.84,554.4,41
1013,3258,691.2,680,3139.2,1393.2,34
1317,4030.56,1804.32,138,2292,2305,51
1385,1270.08,1676.16,2683,2526.14,2556,43
1427,771.84,774.72,2304,920.679,580.608,50
1474,1971.36,853.92,2168,3004.65,601.344,31
1523,4392,624.96,1713,2555.71,1359.94,53
1591,1742.4,473.76,1351,2018.88,2190.24,39
1699,4031.42,1804.03,138,2292,2305,52
1755,1339.2,1721.09,2302,2971.47,1663.03,42
1995,1124.93,2096.06,138,2292,2305,46
2183,1969.92,852.25,2678,3003.9,600.183,34
2200,1994.8,848.103,2976,3052.87,591.225,31
2245,4105.73,1144.63,748,2001.6,2404.8,30
2349,1970.75,851.006,2993,3002.71,598.391,28
2361,1993.14,848.517,2976,3052.87,591.225,33
2608,3311.46,680.805,2976,3052.87,591.225,32
2674,1331.75,1648.26,1885,3132.86,1848.96,49
2749,3807.13,1531.81,2704,2009.57,1591.53,47
2768,564.351,1110.79,2345,1933.43,1774.17,37
2807,1740.83,477.758,607,3688,1139,46
2808,1490.01,104.509,2387,1050.07,1799.06,35
2900,4106.33,1146.62,416,362,2262,29
2943,3823.26,1630.35,455,2973,1680,47
2947,2497.48,2235.91,1277,3991.68,1447.2,42
