id,u,v
0,2916,1717
1,3810,1471
2,2580,1946
3,3178,1849
4,2744,1538
5,3134,1850
6,2189,192
7,1349,1853
8,1867,2395
9,2862,1470
10,1581,1828
11,3156,1827
12,2099,2250
13,4006,1412
14,2833,1824
15,4241,1412
16,1217,2101
17,2172,198
18,3027,1856
19,1920,1737
20,2019,2224
21,2513,2038
22,3029,1819
23,3040,1818
24,1886,2251
25,2158,2331
26,2260,2285
27,2948,2215
28,2189,2106
29,1598,1556
30,2522,2068
31,2071,222
32,2650,1988
33,2705,1814
34,4049,1414
35,3049,2214
36,3633,1261
37,3105,1857
38,2297,2323
39,2915,1735
40,3202,2213
41,2245,2175
42,2160,2329
43,3035,1195
44,1600,1557
45,3952,1857
46,2077,223
47,2202,2113
48,1581,1830
49,2165,1298
50,1070,1558
51,1295,1858
52,3942,1859
53,2798,1631
54,1949,1702
55,3074,1375
56,2014,2603
57,3950,1859
58,2172,2307
59,1048,1803
60,1427,1379
61,2036,2397
62,2071,224
63,2821,1802
64,1867,2382
65,3078,1403
66,1945,2623
67,2755,1562
68,2941,2225
69,2492,2123
70,2131,2346
71,3121,1860
72,1977,1861
73,2103,2502
74,2462,2039
75,2023,2502
76,4209,1402
77,2061,225
78,3630,1264
79,2841,1861
80,2157,2398
81,2359,2501
82,3127,1402
83,4246,1418
84,2131,2562
85,857,682
86,2524,2526
87,1919,1788
88,3082,1360
89,2005,2000
90,2207,2485
91,2095,2485
92,2022,2529
93,2525,2064
94,2012,2483
95,3102,2328
96,3946,1419
97,2493,1737
98,2850,1862
99,1489,1674
100,3407,1287
101,2934,1729
102,2917,1382
103,2164,2255
104,2941,1728
105,2508,1728
106,1939,1374
107,2856,1473
108,3021,1787
109,1916,297
110,2094,2247
111,2175,2226
112,3104,1520
113,423,1402
114,2192,2309
115,718,1114
116,3933,1862
117,1934,1627
118,2465,2472
119,2160,2400
120,2157,2472
121,2723,2400
122,1425,1372
123,1937,2282
124,2534,2560
125,2470,2470
126,2482,2467
127,2177,2306
128,2108,2467
129,2468,2461
130,1763,1780
131,3632,1265
132,2102,2383
133,2528,1722
134,3078,2035
135,2626,2037
136,2960,2065
137,2012,2066
138,2292,2305
139,3922,1863
140,2416,130
141,1249,1864
142,2754,1641
143,1935,2458
144,3114,1864
145,2279,2182
146,2286,2305
147,1428,1383
148,2154,2085
149,2526,2067
150,1936,1774
151,2350,2455
152,2022,2537
153,2016,2147
154,2519,1721
155,4227,1383
156,2005,2150
157,2178,2333
158,1861,2384
159,883,151
160,3995,1868
161,865,562
162,2007,2204
163,2008,2227
164,2512,2083
165,2016,2157
166,2967,1683
167,2517,2035
168,2015,1579
169,3101,2259
170,3040,1869
171,3067,1361
172,1190,1870
173,2023,2510
174,2003,2606
175,3947,1454
176,904,561
177,3106,1359
178,1883,2261
179,2552,1359
180,2857,1385
181,3114,1358
182,2713,1482
183,1870,2393
184,2839,1162
185,3818,1871
186,2005,2158
187,2588,1933
188,2007,2540
189,4222,1385
190,2957,1760
191,2001,2068
192,3032,2278
193,3104,1513
194,1915,276
195,2915,1166
196,2932,1711
197,1932,2622
198,2020,1581
199,2463,2050
200,2930,1386
201,2939,1710
202,3044,2229
203,2023,2504
204,2877,1168
205,3139,1357
206,1883,1686
207,2516,2069
208,2434,126
209,1506,1356
210,2828,1427
211,2939,2230
212,2938,1757
213,881,544
214,1571,1321
215,1915,292
216,2137,2334
217,3991,1449
218,2945,1756
219,2477,1756
220,2822,1428
221,3038,1755
222,2019,2192
223,2965,1448
224,2002,2405
225,1857,2386
226,2682,1447
227,2439,124
228,2234,2405
229,2946,2244
230,2529,2071
231,2564,1353
232,1505,1353
233,2020,1584
234,2017,2162
235,2519,2033
236,3793,1904
237,3909,1902
238,2946,2192
239,2198,2300
240,4006,1445
241,1954,2300
242,3004,1178
243,2007,2202
244,1805,1754
245,3833,1902
246,4236,1389
247,2449,122
248,1940,2461
249,2535,2073
250,2166,2316
251,915,548
252,643,1899
253,3006,1179
254,2251,1877
255,2098,2074
256,2007,2193
257,3053,1878
258,1504,1347
259,1839,2360
260,2005,2164
261,4211,1391
262,1873,1704
263,2163,1002
264,4203,1398
265,2315,2276
266,2681,1435
267,1374,411
268,2166,2276
269,2937,2240
270,4025,1430
271,2184,2323
272,1965,252
273,911,551
274,1995,2429
275,1024,1890
276,2098,2427
277,2320,2275
278,3140,1393
279,4232,1393
280,2599,1889
281,2008,2195
282,2159,2318
283,2929,1442
284,1957,252
285,2003,2080
286,2121,2566
287,1094,1881
288,2007,2424
289,1974,1889
290,3033,2238
291,2880,1689
292,2291,166
293,2224,2169
294,3083,1397
295,3087,2169
296,2900,1337
297,916,553
298,3912,1881
299,1894,2389
300,2102,2421
301,775,2420
302,1853,1700
303,338,1201
304,2311,2296
305,3115,1395
306,3037,1202
307,2032,2418
308,2488,1330
309,2503,1330
310,3119,1438
311,3920,1881
312,3651,1277
313,2010,2078
314,2551,1653
315,2182,2237
316,2137,2322
317,2681,2054
318,1570,1332
319,2515,2078
320,2007,2200
321,2509,2040
322,2017,2170
323,3994,1743
324,2241,1885
325,3045,1695
326,2451,1741
327,3192,2078
328,783,2200
329,1930,1653
330,2483,1739
331,2524,1692
332,2089,2048
333,2177,2410
334,2076,1739
335,2107,2410
336,2021,1601
337,3925,1436
338,33,1221
339,1970,249
340,40,1222
341,3108,1396
342,1179,1503
343,2247,1884
344,3417,1276
345,34,1229
346,2245,2336
347,2898,2173
348,4203,1396
349,2018,2199
350,2532,2079
351,4205,1396
352,3911,1883
353,2007,2174
354,1111,1832
355,1193,1832
356,1536,1832
357,2005,2613
358,3049,1833
359,1782,1545
360,1893,2378
361,1933,2288
362,3023,1836
363,2551,93
364,1486,1837
365,3143,1408
366,4004,1848
367,3113,1848
368,1488,1837
369,1393,1848
370,3058,1847
371,1444,1842
372,2172,196
373,2184,195
374,3127,1842
375,1912,267
376,2198,2327
377,3634,1264
378,2161,2317
379,3940,1455
380,2314,2181
381,956,661
382,4049,1420
383,4224,1383
384,1487,1841
385,1445,2000
386,853,2766
387,2733,1810
388,3117,1438
389,1946,1369
390,3100,2207
391,1563,390
392,3209,2214
393,2967,2077
394,3989,1850
395,2943,2214
396,749,796
397,4017,1420
398,3877,1464
399,543,664
400,2729,2426
401,845,608
402,2166,2327
403,3020,2293
404,3016,1688
405,3966,1879
406,3006,1780
407,706,1115
408,2158,2329
409,2549,1655
410,344,1202
411,900,558
412,4049,1442
413,2883,1674
414,1910,267
415,861,566
416,362,2262
417,1869,1648
418,4238,1391
419,4212,1415
420,2091,1751
421,3111,2249
422,4285,1895
423,3168,2317
424,1915,2406
425,785,604
426,1924,1491
427,1903,2284
428,2172,2333
429,2243,1896
430,4220,1389
431,944,584
432,2035,744
433,1919,1656
434,3882,1905
435,2368,1313
436,4202,1416
437,2152,740
438,2116,2574
439,3410,1279
440,2861,1096
441,2024,2480
442,3885,1462
443,2075,2050
444,3999,1448
445,1918,319
446,912,641
447,1072,1529
448,40,1229
449,2589,83
450,2524,2524
451,812,641
452,2318,155
453,4208,1420
454,3063,1172
455,2973,1680
456,3846,1171
457,3928,1451
458,4224,1395
459,1974,2407
460,968,560
461,3805,1886
462,4219,1386
463,4001,1758
464,2836,1829
465,1201,1500
466,4047,1406
467,3072,2188
468,1370,413
469,2176,2295
470,164,935
471,2668,1434
472,1128,757
473,2214,1282
474,1016,1607
475,741,656
476,3889,1869
477,4251,1424
478,2550,1651
479,3768,1217
480,936,621
481,3974,1762
482,2006,2172
483,4227,1396
484,3156,2291
485,3089,2008
486,1935,1624
487,3192,2064
488,1605,2006
489,1954,2365
490,900,645
491,4207,1406
492,2313,2286
493,4025,1423
494,4212,1411
495,859,597
496,1571,1315
497,4492,1405
498,820,597
499,1130,1553
500,3811,1935
501,2792,1770
502,989,1898
503,2510,1755
504,3166,1822
505,2767,1821
506,3939,1863
507,1617,2146
508,2720,1638
509,1959,2376
510,1629,1660
511,1228,2765
512,2566,2103
513,2207,188
514,2202,2637
515,1877,2254
516,4205,1382
517,761,778
518,749,654
519,889,646
520,1321,2017
521,2240,2343
522,2816,2087
523,2152,2557
524,2240,2367
525,3187,2278
526,1064,537
527,3128,1717
528,3166,2057
529,3043,2270
530,814,640
531,2322,2213
532,4247,1414
533,1804,2182
534,1643,997
535,989,555
536,2290,1869
537,723,620
538,70,833
539,856,577
540,1190,1875
541,879,549
542,854,675
543,4216,1388
544,2192,2321
545,4016,1435
546,3744,1129
547,4248,1427
548,3941,834
549,1134,568
550,2485,2521
551,754,1630
552,2493,2645
553,2528,2526
554,1441,2030
555,805,642
556,2926,2216
557,1375,1796
558,4211,1379
559,3144,2375
560,1910,2027
561,1067,536
562,417,2206
563,2735,1820
564,3990,1427
565,1141,1505
566,2248,2372
567,911,634
568,1489,1841
569,918,585
570,2093,2404
571,3139,2355
572,4239,1385
573,2330,154
574,3733,1246
575,1956,1397
576,1145,1560
577,2203,1875
578,2134,740
579,1964,2366
580,3905,1440
581,987,556
582,3013,1688
583,2171,2650
584,2602,80
585,2462,119
586,1800,1738
587,113,844
588,1984,1757
589,415,1408
590,868,557
591,1298,1862
592,3848,1877
593,876,547
594,909,644
595,1315,1504
596,4022,749
597,1254,1471
598,2577,1951
599,4203,1387
600,858,559
601,892,537
602,872,599
603,1694,497
604,2092,219
605,1341,2062
606,859,587
607,3688,1139
608,3967,1854
609,2258,1317
610,1928,1371
611,912,637
612,1429,442
613,1904,2272
614,2199,2632
615,940,579
616,858,577
617,868,596
618,4201,1412
619,2091,2512
620,1365,2040
621,1077,534
622,803,600
623,1946,2180
624,871,656
625,1812,2176
626,3153,2328
627,3056,1915
628,3724,1255
629,3765,1224
630,1186,1535
631,1490,2023
632,1567,594
633,2207,186
634,1467,2044
635,1432,1494
636,2005,2514
637,3100,2301
638,1914,2089
639,3401,1288
640,2281,2360
641,3060,2301
642,2492,2653
643,998,554
644,942,635
645,847,590
646,3069,1352
647,3306,1687
648,2074,1704
649,730,618
650,2179,2640
651,2083,2410
652,2016,2146.8
653,2517.6,1720.8
654,2107.2,2468.4
655,3181.2,2286
656,1485.6,1837.2
657,2937.6,2239.2
658,1958.4,254.4
659,2433.6,127.2
660,3082.8,1360.8
661,2010,2078.4
662,3996,1867.2
663,1392,1848
664,2917.2,1716
665,1488,1837.2
666,1869.6,2392.8
667,2946,2244
668,3004.8,1779.6
669,2160,2329.2
670,2914.8,1716
671,2625.6,2036.4
672,1976.4,1861.2
673,3908.4,1900.8
674,3632.4,1262.4
675,2744.4,1537.2
676,2278.8,2181.6
677,2098.8,2250
678,2172,2306.4
679,2754,1640.4
680,3139.2,1393.2
681,782.4,2199.6
682,2310,2296.8
683,2018.4,2191.2
684,2552.4,1359.6
685,3168,2316
686,2822.4,1428
687,3040.8,1868.4
688,2960.4,2065.2
689,2704.8,1814.4
690,2481.6,2467.2
691,2018.4,2199.6
692,2012.4,2065.2
