id_i,u_i,v_i,id_j,u_j,v_j,distance
3,1617,1437,14,1107,853,51
34,553,1436,2255,3927.4,622.08,57
63,1504,1167,2296,1368.58,584.755,47
162,1204,1547,2834,1583.77,1318.61,43
198,2371,1302,619,2381,1346,46
213,318,1312,2852,3432.69,1085.7,45
293,482,1355,261,1099,1757,47
324,1227,1452,2646,1585.56,1316.82,26
346,329,1213,785,949.2,926.4,49
373,477,1406,2296,1368.58,584.755,42
488,2006,766,2652,3003.9,916.697,32
540,3758,1785,1250,3808.8,672.48,63
561,2038,802,2027,1360.28,1652.66,51
671,2337.6,1288.8,643,3449,1476,54
725,1480.8,1138.8,2442,1368.58,584.755,42
806,2292,1491.6,2835,232.907,1329.36,36
975,1426.8,1068,2442,1368.58,584.755,45
1028,2043.6,1340.4,1747,1719.36,1232.06,37
1029,3769.2,627.6,1457,3791.52,660.96,51
1032,1417.2,1058.4,2442,1368.58,584.755,45
1139,2072.4,1335.6,1747,1719.36,1232.06,40
1184,2754,1488,1707,1268.35,1676.16,44
1253,2260.8,1448.64,1434,1638.72,1082.88,44
1309,427.68,1411.2,811,1393.2,1630.8,50
1316,4439.52,927.36,1646,1055.52,676.8,45
1428,1357.92,1913.76,1601,3788.64,1543.68,40
1573,1740.96,2211.84,2818,4170.82,971.042,41
1600,3166.56,2291.04,2399,1311.34,1692.06,28
1815,1676.16,1382.4,2422,1358.62,1652.24,46
2143,642.816,1335.4,752,3921.6,615.6,42
2515,3966.38,2510.72,1163,3735.6,655.2,54
2714,298.598,1218.28,1090,1124.4,1735.2,46
2754,2759.05,555.393,2451,925.655,831.099,43
