id_i,u_i,v_i,id_j,u_j,v_j,distance
58,3875,1090,1526,3120.48,2285.28,55
74,122,827,2328,3124.92,2309.99,57
123,4457,1286,13,4122,1254,44
124,3914,1078,424,1898,1609,58
192,2232,578,635,1238,1995,36
268,3460,1401,496,4164,1233,47
334,4085,1130,2862,867.13,1393.86,52
396,4541,1406,1802,542.592,1328.83,38
398,4083,1131,770,2108.4,1374,52
488,1988,645,324,1227,1452,33
494,3527,1342,622,4270,997,46
516,2758,1554,931,3958.8,2508,29
553,2164,2715,305,1039,1414,51
723,3584.4,1537.2,1990,988.416,1715.9,48
884,3243.6,746.4,2355,276.204,1241.67,45
971,4102.8,1137.6,2871,1504.94,945.96,40
1064,81.6,452.4,2595,2157.37,1358.62,54
1110,2167.2,2703.6,1301,381.6,1249.92,43
1203,4291.2,1326.24,2266,3207.86,1449.45,52
1314,3536.64,1519.2,166,307,1293,50
1449,2426.4,480.96,2737,2544.06,316.514,46
1966,1232.06,1479.17,464,4453,930,47
2375,617.104,539.966,433,1179,1964,53
2378,3705.11,3065.61,430,4032,1775,44
2380,427.991,2013.05,1767,642.816,1335.74,31
2712,426.996,2012.55,1767,642.816,1335.74,49
2874,3791.01,988.958,1592,4161.6,1291.68,38
2887,781.134,283.071,2150,2036.28,1198.54,51
