id_i,u_i,v_i,id_j,u_j,v_j,distance
99,4366,1801,2794,683.791,2257.4,42
102,3688,1870,1347,4432.32,2430.72,38
356,1906,1555,1040,4435.2,2449.2,45
387,4126,1718,740,3529.2,1430.4,35
511,4338,1773,1693,3471.55,1460.16,48
526,2821,930,487,1941,905,52
532,4342,1753,407,425,2014,33
643,4229,1784,164,3489,1413,44
705,2625.6,1232.4,1407,3991.68,2901.6,37
753,3472.8,1953.6,2283,3529.27,1561.42,42
1036,3614.4,1951.2,2306,700.877,1648.51,52
1073,3451.2,1953.6,2561,2229.54,520.059,46
1086,4124.4,1080,1048,3247.2,1374,39
1108,3174,1810.8,61,3489,1400,33
1189,3942,753.6,192,2232,578,36
1191,3424.8,1917.6,2304,186.624,416.794,42
1251,3576.96,1984.32,2306,700.877,1648.51,42
1371,2543.04,1274.4,2755,4007.19,289.641,52
1406,4227.84,1782.72,2970,1848.92,2020.91,50
1411,1905.12,1553.76,1832,3466.37,1715.9,44
1458,2761.92,927.36,946,1987.2,645.6,38
1483,4344.48,1752.48,1180,674.4,1660.8,34
1718,1150.85,829.44,1575,4363.2,2484,41
1737,4123.01,1078.27,893,4380,1243.2,39
1892,3269.38,1555.2,1890,1372.03,706.752,48
2058,4391.89,1785.37,1180,674.4,1660.8,33
2724,612.127,1430.29,1268,3921.12,1140.48,30
2857,3371.77,1895.5,1180,674.4,1660.8,35
2934,3547.35,1884.75,2691,803.23,603.169,39
