id,u,v
0,3479,1340
1,116,796
2,3948,1092
3,3489,1340
4,4363,1260
5,3510,1365
6,3881,1090
7,3783,2306
8,114,791
9,414,2298
10,4290,1253
11,4397,1319
12,3483,1420
13,3884,1099
14,4020,1197
15,4362,1341
16,4406,2427
17,4396,1325
18,4118,1141
19,4290,1325
20,4396,1323
21,3467,1356
22,3771,1035
23,4063,1089
24,209,1420
25,4009,1106
26,4385,1322
27,3881,1040
28,3872,1111
29,3793,1050
30,4352,1262
31,3482,1375
32,4380,1321
33,3950,1089
34,3690,1526
35,3950,1091
36,4297,1251
37,3938,1122
38,1444,1567
39,3472,1462
40,4094,1133
41,3828,1657
42,3882,1121
43,3754,1630
44,3848,1551
45,4302,1308
46,4094,1145
47,3488,1345
48,3852,1657
49,4092,1132
50,3514,1357
51,2073,904
52,3490,1345
53,1423,1542
54,4297,1294
55,68,1472
56,64,1467
57,1734,1539
58,3875,1090
59,4362,1345
60,4408,1317
61,3489,1400
62,3813,1062
63,4305,1288
64,3140,723
65,3928,1139
66,3515,1346
67,3500,1538
68,4043,1175
69,3763,1650
70,3961,1085
71,3505,1371
72,1320,1651
73,3618,1537
74,122,827
75,3858,1640
76,3984,1057
77,3808,1474
78,3861,1100
79,3788,1459
80,3776,1035
81,125,826
82,3853,1655
83,3480,1431
84,4099,1136
85,3497,1316
86,3142,721
87,4022,1088
88,3474,1694
89,120,807
90,4411,1304
91,3899,1114
92,3974,1119
93,3511,1517
94,3951,1114
95,2023,282
96,3242,1359
97,3550,1593
98,3502,1437
99,3941,1134
100,1079,1655
101,3916,1101
102,1665,1532
103,1737,1537
104,4111,1136
105,44,1005
106,3507,1360
107,4391,1360
108,3767,1479
109,4017,1146
110,1447,1566
111,4421,1299
112,3768,1025
113,4380,1323
114,3803,1021
115,4121,1137
116,4324,1332
117,3968,1073
118,3989,1084
119,4044,1177
120,3850,1638
121,3515,1351
122,4039,1173
123,4457,1286
124,3914,1078
125,4378,2465
126,3730,1524
127,3991,1065
128,3505,1377
129,4007,1076
130,3895,1110
131,3757,1629
132,123,819
133,118,795
134,3649,1581
135,1427,1541
136,3906,1098
137,4307,1285
138,4287,1255
139,4057,1179
140,4384,1255
141,4454,1362
142,3486,1353
143,3977,1081
144,3472,1363
145,3964,1069
146,3491,1337
147,3496,1373
148,3537,1520
149,3494,1336
150,1437,1630
151,3508,1387
152,3492,1427
153,3978,1057
154,3514,1387
155,4266,1299
156,4380,1243
157,4069,1172
158,3927,1029
159,4317,1311
160,4004,1096
161,3459,1354
162,4351,1354
163,4331,1334
164,3489,1413
165,3771,1032
166,2026,885
167,4302,1295
168,4140,1135
169,3242,741
170,3514,1333
171,3502,1448
172,3471,1374
173,4415,1298
174,3477,1428
175,3495,1332
176,3798,1051
177,3811,1572
178,117,790
179,4280,1258
180,4035,1171
181,3175,737
182,4045,1184
183,4415,1310
184,4087,1140
185,1468,1493
186,2268,326
187,4328,1340
188,4371,1340
189,4095,1136
190,3176,741
191,3501,1433
192,2232,578
193,3553,1601
194,3963,1082
195,4296,1319
196,3979,1119
197,2252,334
198,2664,731
199,3847,1661
200,3486,1333
201,3999,1180
202,4320,1331
203,3742,1043
204,3863,1036
205,3243,747
206,3852,1050
