id,u,v
0,2545,1370
1,1779,2235
2,2616,1270
3,131,1967
4,1860,2235
5,1853,2227
6,2499,1382
7,1336,1314
8,2356,2191
9,434,293
10,2262,1302
11,2521,1381
12,4159,1359
13,571,1146
14,2647,1282
15,4150,1506
16,135,1930
17,442,308
18,2814,1162
19,1820,2273
20,422,346
21,636,1869
22,3197,1217
23,3566,1171
24,428,346
25,2532,1381
26,1825,2272
27,2789,1202
28,2484,1382
29,2591,1345
30,432,295
31,1825,2270
32,397,374
33,2964,1655
34,4158,1491
35,1785,2238
36,2686,1376
37,2500,1364
38,1537,1398
39,2476,1382
40,84,1906
41,421,372
42,2789,1253
43,384,347
44,2804,1253
45,2680,1345
46,1834,2236
47,1847,2236
48,3442,1631
49,172,1942
50,608,884
51,2812,1320
52,394,372
53,129,1998
54,382,372
55,2563,1365
56,373,372
57,2273,1364
58,2626,1381
59,1523,717
60,1859,2266
61,375,387
62,1897,2264
63,1763,2264
64,2562,1350
65,125,1995
66,3517,1313
67,2206,2208
68,2512,1371
69,2583,1356
70,451,347
71,1879,2236
72,2624,1360
73,427,348
74,2577,1360
75,3204,1267
76,105,1918
77,2542,1360
78,2775,1171
79,422,370
80,2828,1525
81,108,1953
82,2345,1321
83,371,370
84,384,369
85,2827,1356
86,441,348
87,1821,2228
88,443,368
89,1901,2260
90,551,2432
91,1439,1449
92,439,368
93,1554,975
94,386,388
95,1813,2228
96,405,368
97,2785,1201
98,2893,1722
99,1842,2252
100,398,349
101,2682,1545
102,403,368
103,2769,1247
104,452,1125
105,2792,1171
106,393,368
107,438,332
108,436,308
109,428,302
110,2834,1256
111,1856,2240
112,1831,2243
113,2684,1344
114,2621,1344
115,2651,1280
116,2714,1571
117,2680,1343
118,1775,2250
119,4487,987
120,1435,720
121,421,366
122,2730,1374
123,2939,2079
124,417,366
125,410,366
126,2752,1363
127,2680,1326
128,2083,2100
129,2705,1572
130,3266,1212
131,149,2046
132,2082,2103
133,84,1909
134,1879,1922
135,139,1934
136,88,1909
137,2916,956
138,108,1922
139,146,2042
140,2883,954
141,2784,1257
142,148,2109
143,2560,1353
144,1956,2109
145,2954,1670
146,4010,1476
147,1954,2112
148,2810,1242
149,410,364
150,3631,1551
151,2766,1243
152,1867,1936
153,3907,1477
154,2783,1244
155,2833,1258
156,2785,1245
157,1788,2248
158,2753,1335
159,2792,1246
160,4038,1479
161,2786,1247
162,2577,1363
163,3278,1258
164,2488,1374
165,138,2121
166,1882,2246
167,1809,2246
168,1785,2276
169,152,2013
170,391,362
171,1780,2278
