id_i,u_i,v_i,id_j,u_j,v_j,distance
135,1007,512,1474,2108.16,996.48,29
538,3422,115,1364,2897.28,1726.56,51
593,3657,697,2729,2278.31,1331.75,50
629,1605,1998,1619,2210.4,1461.6,40
632,1059,1180,2415,3446.32,1659.71,44
1216,427.68,681.12,2251,2108.85,995.328,50
1472,1008,511.2,2312,2063.23,1007.77,32
1669,1425.6,1116.29,1410,4049.28,1435.68,40
1788,2474.5,549.504,2241,3597.7,584.755,36
1893,3604.61,694.656,320,2677,1542,51
1946,1009.15,509.76,2312,2063.23,1007.77,38
1989,1662.34,3151.87,2593,584.755,1127.21,42
1996,340.416,673.92,2400,2520.67,1381.02,49
2301,3867.26,493.517,2908,2329.07,1329.36,25
2377,3083.03,1667.17,569,4132,1531,52
2485,2938.71,1754.27,1599,398.88,282.24,58
2906,756.051,1107.2,2788,1534.8,1397.44,56
