id,u,v
0,4387,1801
1,1912,1541
2,3968,686
3,269,1180
4,3164,1045
5,3951,940
6,4395,1124
7,4012,1183
8,3201,1754
9,194,1659
10,4123,1080
11,2788,943
12,176,1763
13,228,1674
14,2790,943
15,4073,1385
16,4012,1185
17,4126,1080
18,4132,1080
19,3245,1694
20,4225,1080
21,4110,1271
22,3653,1863
23,4014,1186
24,189,1770
25,4437,1271
26,2422,1134
27,3277,954
28,4345,1780
29,3141,1696
30,2304,1097
31,737,1312
32,177,1736
33,4313,1784
34,4417,1696
35,3033,1049
36,2536,941
37,2688,1406
38,4422,1697
39,3907,1406
40,4113,1784
41,2737,880
42,192,1751
43,4114,1079
44,4430,1697
45,669,1383
46,3275,966
47,2519,1405
48,3185,1699
49,3830,1299
50,3905,1327
51,218,1701
52,2539,1235
53,732,1278
54,3189,1698
55,4119,1771
56,3184,1734
57,2720,1012
58,4019,1308
59,4097,1788
60,4147,1072
61,4416,1119
62,3636,1984
63,163,1748
64,3391,1860
65,207,1650
66,4359,1702
67,4377,1788
68,4118,1082
69,2839,948
70,3690,1875
71,738,1249
72,3971,1117
73,191,1772
74,4149,1789
75,4182,1789
76,3112,1705
77,3185,1074
78,3668,1983
79,2105,1141
80,4386,1789
81,3605,1960
82,4139,1074
83,4226,1084
84,4343,1780
85,953,1796
86,4021,1312
87,3409,1874
88,4101,1102
89,2719,1409
90,4132,1075
91,4181,1361
92,3107,1708
93,2594,1212
94,4082,1387
95,1908,1561
96,984,1086
97,3958,1112
98,173,1732
99,4366,1801
100,4342,1801
101,4307,1775
102,3688,1870
103,4148,1076
104,4189,1359
105,4325,1801
106,3076,1755
107,2696,990
108,710,1442
109,4142,1793
110,2593,1416
111,186,1715
112,3642,1903
113,2691,995
114,4124,1077
115,4130,1077
116,4267,978
117,702,1327
118,987,1084
119,4006,1376
120,1794,996
121,2559,956
122,3531,1904
123,1801,997
124,4335,1774
125,2680,975
126,4373,1797
127,3709,1904
128,3664,1862
129,4197,1794
130,4323,1800
131,2685,1405
132,4105,1774
133,188,1755
134,4035,1315
135,4141,1078
136,4016,1314
137,3145,1750
138,2680,1236
139,202,1739
140,176,1729
141,3169,1037
142,2397,1137
143,4117,1079
144,3637,1873
145,3179,1738
146,635,1463
147,4035,1688
148,3408,1907
149,2553,937
150,2543,1233
151,1058,139
152,3220,1695
153,4282,1797
154,4032,1320
155,3965,1127
156,2527,1234
157,1150,840
158,2591,1443
159,4088,1793
160,4140,1321
161,4226,1102
162,3955,1115
163,3507,1985
164,2893,1066
165,2438,351
166,4387,1804
167,2439,354
168,3482,1965
169,4302,1753
170,2559,1285
171,4385,1804
172,801,1324
173,3896,1311
174,3208,1739
175,3853,1326
176,2553,1296
177,2534,1211
178,656,1385
179,3472,1985
180,735,1312
181,3984,687
182,4270,1792
183,4390,1795
184,3915,1306
185,3811,1324
186,2893,1037
187,725,1295
188,2584,964
189,667,1459
190,4289,1781
191,2762,928
192,4088,898
193,3614,1951
194,426,1295
195,3146,1695
196,3662,1951
197,4290,981
198,173,1743
199,613,1434
200,3874,1329
201,3207,1750
202,2626,1233
203,2796,761
204,3150,1748
205,3015,1093
206,671,1382
207,3585,1959
208,3950,953
209,3740,613
210,3103,1073
211,125,1750
212,212,1661
213,1762,1385
214,2741,958
215,3098,1755
216,3725,1905
217,684,1387
218,4013,1310
219,3654,537
220,2892,1031
221,835,1256
222,4336,832
223,2474,935
224,620,1455
225,3110,1075
226,207,1659
227,3206,1766
228,4356,1687
229,245,1634
230,3704,1883
231,728,67
232,3371,574
233,3534,1858
234,4215,1688
235,3507,1980
236,192,1663
237,4315,817
238,4081,1380
239,3400,1907
240,3910,1305
241,3879,1293
242,2890,1029
243,805,1293
244,4238,1689
245,631,1458
246,3522,1953
247,3918,1303
248,1150,842
249,4030,1315
250,4158,1200
251,2872,1029
252,3412,1839
253,2596,1417
254,2551,1201
255,4218,1683
256,4222,1783
257,2947,1028
258,4235,1148
259,4437,1690
260,2206,1369
261,136,1691
262,3482,1978
263,3513,927
264,2397,1134
265,708,1287
266,4309,1800
267,3201,1768
268,4236,1768
269,2568,1257
270,3368,883
271,4059,1674
272,703,1317
273,4312,1801
274,2891,1023
275,481,1636
276,1510,839
277,3605,1977
278,3740,1080
279,3250,1693
280,745,54
281,3423,1846
282,4107,1769
283,4118,1769
284,2747,882
285,2465,1144
286,88,1737
287,4182,1331
288,4290,1799
289,2719,1018
290,3832,1302
291,2920,1081
292,3507,1859
293,4084,1694
294,169,1736
295,4016,1185
296,3810,1299
297,3645,1881
298,174,1695
299,3451,1954
300,3782,1316
301,3206,1735
302,192,1725
303,703,66
304,1350,335
305,2597,1214
306,3508,1954
307,3819,998
308,4320,1779
309,3459,1954
310,4230,1797
311,2778,336
