id,u,v
0,3257,236
1,2986,279
2,2953,226
3,458,633
4,3219,236
5,3129,236
6,3201,255
7,3113,236
8,3205,226
9,405,690
10,3445,42
11,3073,353
12,3333,102
13,1322,726
14,3146,277
15,512,1057
16,2913,66
17,2974,214
18,3389,31
19,3335,141
20,3293,254
21,2970,232
22,3265,291
23,3260,169
24,3245,202
25,3262,243
26,2971,254
27,3127,331
28,3152,331
29,3038,157
30,3005,84
31,3259,146
32,3127,241
33,329,685
34,3253,66
35,2570,1858
36,3297,92
37,3314,133
38,3281,66
39,3248,199
40,3375,185
41,3053,146
42,2961,304
43,3002,249
44,2649,1806
45,1693,1546
46,3323,248
47,3304,293
48,705,804
49,3217,168
50,3002,271
51,2665,1886
52,2999,288
53,2962,146
54,3480,163
55,3060,194
56,3408,33
57,3355,212
58,3016,271
59,3163,92
60,3052,1707
61,3045,328
62,3087,112
63,3077,274
64,2999,253
65,2966,135
66,3073,112
67,3277,114
68,2702,1847
69,3168,303
70,3367,34
71,2953,324
72,3318,97
73,1058,497
74,3086,186
75,2899,228
76,3092,265
77,3453,92
78,3007,47
79,3258,167
80,4330,1357
81,2934,346
82,3162,135
83,3076,35
84,3015,212
85,3200,105
86,3190,167
87,3400,197
88,4332,1359
89,3192,277
90,3138,167
91,2695,1819
92,2962,163
93,3324,111
94,2900,157
95,2984,81
96,3135,252
97,2924,151
98,3131,252
99,3225,184
100,3161,164
101,3141,36
102,3334,80
103,3312,106
104,3289,80
105,3444,48
106,3361,36
107,354,658
108,3319,136
109,2956,236
110,1341,907
111,2961,272
112,3159,298
113,585,820
114,3399,166
115,3009,287
116,3390,211
117,3327,106
118,2997,256
119,2965,298
120,3018,229
121,3212,79
122,3089,52
123,2790,1771
124,2938,1754
125,392,645
126,3120,69
127,3331,136
128,3370,144
129,2855,1754
130,3308,229
131,3264,69
132,2820,1767
133,3012,293
134,3207,86
135,1007,512
136,3179,251
137,3012,131
138,2947,374
139,3109,210
140,3071,188
141,3077,104
142,4349,1375
143,2891,382
144,3074,199
145,3301,109
146,3208,188
147,4351,1375
148,3205,104
149,3335,53
150,2976,287
151,3223,188
152,3196,239
153,3416,59
154,2999,210
155,2941,148
156,3012,230
157,3201,230
158,3388,188
159,3001,78
160,2937,210
161,318,1341
162,3015,370
163,3019,110
164,2981,130
165,2910,333
166,3290,137
167,3183,148
168,3327,230
169,2698,1821
170,3320,59
171,3339,40
172,3343,40
173,3404,143
174,2904,382
175,3150,257
176,3331,130
177,3290,143
178,3275,143
179,414,638
180,3412,39
181,3275,148
182,3175,330
183,3207,164
184,3171,286
185,3360,157
186,3404,197
187,2764,1820
188,2601,1824
189,3345,148
190,3190,247
191,3075,138
192,3075,164
193,2952,302
194,3010,225
195,2929,171
196,2742,1793
197,3115,250
198,3061,274
199,3132,231
200,3409,106
201,345,699
202,3186,329
203,3183,88
204,3285,88
205,3299,88
206,2973,250
207,3329,248
208,3337,76
209,3052,1678
210,3400,189
211,3082,209
212,3033,42
213,2952,139
214,2965,242
215,3092,49
216,2607,1820
217,2957,232
218,2997,76
219,2966,139
220,2816,1803
221,2924,178
222,3104,248
223,3349,126
224,666,1073
225,395,880
226,3029,149
227,3214,201
228,3207,248
229,1698,1537
230,417,666
231,352,705
232,3056,163
233,3264,139
234,1416,1117
235,3018,43
236,3257,232
237,3195,172
238,1654,1554
239,419,676
240,3247,43
241,3268,43
242,3134,201
243,3289,258
244,3381,208
245,3171,300
246,3169,300
247,3270,38
248,3360,139
249,3348,208
250,3292,61
251,3006,363
252,3282,61
253,3345,192
254,2937,342
255,3271,224
256,3366,149
257,3245,190
258,2921,166
259,3339,190
260,3387,126
261,2920,309
262,2964,215
263,3206,228
264,3070,193
265,2914,325
266,3073,216
267,2939,306
268,471,670
269,3053,166
270,2924,191
271,3186,325
272,3245,158
273,3126,61
274,2820,1797
